Input Title,Input Year,Country 1,Country 2,Country 3,Country 4,Language 1,Language 2,Language 3,Language 4,Lang 1,Lang 2,Lang 3,Lang 4,Output Title (for verification),Output Release Date (for verification)
"Domingo de ramos",2012,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"El Furtivo",2008,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"Los Perros",2004,,,,,,,,,,,,,"Los últimos golpes de 'El Torete'",
"100% lucha, la película",2008,,,,,,,,,,,,,"Los últimos golpes de 'El Torete'",
"Evita: Otra Mirada",2008,,,,,,,,,,,,,"Los últimos golpes de 'El Torete'",
"Sofacama",2006,,,,,Español,,,,es,,,,"Sofacama",2006-08-31
"A través de tus ojos",2006,,,,,,,,,,,,,"Sofacama",2006-08-31
"Horizontal/Vertical",2009,,,,,,,,,,,,,"Sofacama",2006-08-31
"Temporada de patos (Duck Season)",2005,Mexico,,,,Español,,,,es,,,,"Temporada de patos",2004-10-22
"Dos amigos y un ladrón",2008,,,,,,,,,,,,,"Temporada de patos",2004-10-22
"Vaquero",2011,Argentina,,,,Español,,,,es,,,,"Vaquero",2011-09-29
"Martín Fierro, el ave solitaria",2006,,,,,,,,,,,,,"Vaquero",2011-09-29
"Chicha tu madre",2006,,,,,,,,,,,,,"Vaquero",2011-09-29
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Vaquero",2011-09-29
"Un Hijo genial",2003,,,,,,,,,,,,,"Vaquero",2011-09-29
"Una cita, una fiesta y un gato negro",2012,,,,,,,,,,,,,"Vaquero",2011-09-29
"Hielos Miticos",2009,,,,,,,,,,,,,"Vaquero",2011-09-29
"Patoruzito 2",2006,,,,,,,,,,,,,"Vaquero",2011-09-29
"Fontana, la frontera interior",2011,,,,,,,,,,,,,"Vaquero",2011-09-29
"Buen día, día",2011,Argentina,Bolivia,Cuba,,Español,,,,es,,,,"Di buen día a papá",2005-01-01
"Tierra sublevada: Oro impuro",2009,,,,,,,,,,,,,"Di buen día a papá",2005-01-01
"Der Neunte Tag",2005,Czech Republic,Germany,Luxembourg,,Deutsch,Français,,,de,fr,,,"Der neunte Tag",2004-08-05
"Construcción de una ciudad",2008,,,,,,,,,,,,,"Der neunte Tag",2004-08-05
"Géminis",2005,Argentina,,,,Español,,,,es,,,,"Géminis",2005-06-09
"A las cinco de la tarde (1961) (Re)",2007,,,,,,,,,,,,,"Géminis",2005-06-09
"Un fueguito. La historia de César Milstein",2010,Argentina,,,,Español,English,Français,Italiano,es,en,fr,it,"Un Fueguito: La historia de César Milstein",2010-03-11
"Lifting de corazón",2006,,,,,,,,,,,,,"Un Fueguito: La historia de César Milstein",2010-03-11
"El sexo de las madres",2012,,,,,,,,,,,,,"Un Fueguito: La historia de César Milstein",2010-03-11
"Desbordar",2011,,,,,,,,,,,,,"Un Fueguito: La historia de César Milstein",2010-03-11
"Cous Cous",2009,France,,,,Français,,,,fr,,,,"La graine et le mulet",2007-12-24
"Polígono Sur",2005,,,,,,,,,,,,,"La graine et le mulet",2007-12-24
"Las mujeres llegan tarde",2012,,,,,,,,,,,,,"La graine et le mulet",2007-12-24
"La Luz del bosque",2008,,,,,,,,,,,,,"La graine et le mulet",2007-12-24
"El agua del fin del mundo",2011,,,,,Español,,,,es,,,,"El agua del fin del mundo",2011-10-06
"Cuando ella saltó",2007,,,,,,,,,,,,,"El agua del fin del mundo",2011-10-06
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"El agua del fin del mundo",2011-10-06
"Masterplan",2012,United States of America,,,,English,,,,en,,,,"Gambit",2013-11-07
"Un Peso, un dolar",2007,,,,,,,,,,,,,"Gambit",2013-11-07
"Buenos Aires 100 kilómetros",2005,Argentina,,,,Español,,,,es,,,,"Buenos Aires 100 KM",2005-02-10
"100% lucha, el amo de los clones",2009,,,,,,,,,,,,,"Buenos Aires 100 KM",2005-02-10
"Silencios",2009,,,,,,,,,,,,,"Buenos Aires 100 KM",2005-02-10
"El hombre que corría tras el viento",2009,,,,,,,,,,,,,"Buenos Aires 100 KM",2005-02-10
"Música nocturna",2007,,,,,,,,,,,,,"Música nocturna",
"Nosotras sin mamá",2012,,,,,,,,,,,,,"Música nocturna",
"La Leyenda",2008,,,,,,,,,,,,,"La leyenda",2008-11-20
"El secreto de sus ojos",2011,Argentina,Spain,,,Español,,,,es,,,,"El secreto de sus ojos",2009-08-13
"¿De quién es el portaligas?",2007,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"La mala verdad",2011,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"No ser dios y cuidarlos",2008,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"Hechos, No Palabras",2008,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"Judíos en el espacio o ¿Por qué es differente esta noche a las demás noches?",2006,,,,,,,,,,,,,"El secreto de sus ojos",2009-08-13
"Vivir intentando",2003,Argentina,,,,Español,,,,es,,,,"Vivir intentando",2003-06-19
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Vivir intentando",2003-06-19
"Ningun amor es perfecto",2012,,,,,,,,,,,,,"Vivir intentando",2003-06-19
"Gigantes de Valdés",2008,,,,,,,,,,,,,"Vivir intentando",2003-06-19
"...al fin, el mar",2005,,,,,,,,,,,,,"Al fin, el mar",2005-01-27
"Rodney (2009)",2009,,,,,,,,,,,,,"Al fin, el mar",2005-01-27
"Que sea rock",2006,,,,,,,,,,,,,"Al fin, el mar",2005-01-27
"Fotografías",2007,,,,,,,,,,,,,"Al fin, el mar",2005-01-27
"Boca de Fresa",2010,Argentina,,,,,,,,,,,,"Boca de fresa",
"Desmadre",2012,United States of America,,,,English,,,,en,,,,"The Guilt Trip",2012-12-19
"La Perrera",2008,,,,,,,,,,,,,"La Perrera",2006-05-05
"Aaltra",2008,France,,,,Français,,,,fr,,,,"Aaltra",2004-01-29
"Irma Vep",2003,France,,,,English,Français,,,en,fr,,,"Irma Vep",1996-09-28
"La Dignidad de los nadies",2005,,,,,,,,,,,,,"La Dignidad de los Nadies",2005-09-15
"Unidad 25",2009,,,,,,,,,,,,,"La Dignidad de los Nadies",2005-09-15
"A cada lado",2007,Argentina,,,,Español,,,,es,,,,"A Cada Lado",2007-11-17
"Hacer patria",2007,,,,,,,,,,,,,"A Cada Lado",2007-11-17
"Rosarigasinos",2003,,,,,Español,,,,es,,,,"Rosarigasinos",2001-06-19
"El torcan (The Tango Singer)",2009,,,,,,,,,,,,,"Rosarigasinos",2001-06-19
"Amor a mares",2012,,,,,,,,,,,,,"Rosarigasinos",2001-06-19
"Micaela",2002,Germany,,,,Deutsch,,,,de,,,,"Requiem",2006-10-20
"El cielo elegido (The Chosen Heaven)",2012,,,,,,,,,,,,,"Requiem",2006-10-20
"Una semana solos",2009,,,,,,,,,,,,,"Una semana solos",2007-02-01
"Hércules 56",2007,,,,,,,,,,,,,"Una semana solos",2007-02-01
"Las voces",2012,Spain,,,,,,,,,,,,"Las voces de la noche",2003-10-29
"Palabra por palabra",2008,Argentina,,,,Español,,,,es,,,,"Palabra por palabra",2008-04-10
"El túnel de los huesos",2011,,,,,,,,,,,,,"Prison Escape",2011-06-16
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Prison Escape",2011-06-16
"Algún lugar en ninguna parte",2009,,,,,,,,,,,,,"Prison Escape",2011-06-16
"La Mujer rota",2007,Spain,,,,Español,,,,es,,,,"Los increíbles (Ala rota, La dama de hierro y La mujer radiactiva)",2012-09-24
"Twentieth Century (1934) (Re)",2008,,,,,,,,,,,,,"Los increíbles (Ala rota, La dama de hierro y La mujer radiactiva)",2012-09-24
"Industria Argentina",2012,,,,,,,,,,,,,"Los increíbles (Ala rota, La dama de hierro y La mujer radiactiva)",2012-09-24
"La Orilla que se abisma",2008,,,,,,,,,,,,,"Los increíbles (Ala rota, La dama de hierro y La mujer radiactiva)",2012-09-24
"The Five Senses",2002,Canada,,,,Français,English,Italiano,,fr,en,it,,"The Five Senses",1999-05-18
"La máquina que hace estrellas",2012,,,,,Español,,,,es,,,,"La máquina que hace estrellas",2012-08-30
"El Día que me amen",2003,Argentina,,,,Español,,,,es,,,,"El día que me amen",2003-06-12
"El Arca",2007,,,,,English,,,,en,,,,"Noah's Ark",1995-08-29
"Pinon Fijo Y La Magia De La Musica",2012,,,,,,,,,,,,,"Noah's Ark",1995-08-29
"Tus ojos brillaban",2004,,,,,,,,,,,,,"Noah's Ark",1995-08-29
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Noah's Ark",1995-08-29
"Parapolicial Negro: Apuntes para una prehistoria de la triple A",2012,,,,,,,,,,,,,"Noah's Ark",1995-08-29
"Imaginadores",2008,,,,,,,,,,,,,"Imaginadores",2008-03-20
"La Vérité si je mens! 2",2003,France,,,,Français,,,,fr,,,,"La Vérité si je Mens ! 2",2001-02-07
"Sudor frío",2011,Argentina,,,,Español,,,,es,,,,"Sudor Frío",2010-10-30
"Zenitram",2010,Argentina,Spain,,,Español,,,,es,,,,"Zenitram",2010-05-20
"Soledad y Larguirucho",2012,,,,,,,,,,,,,"Soledad y Larguirucho",2012-07-12
"Rancho aparte",2008,,,,,,,,,,,,,"Soledad y Larguirucho",2012-07-12
"El abismo... todavía estamos",2011,,,,,,,,,,,,,"Soledad y Larguirucho",2012-07-12
"Los Próximos pasados",2007,,,,,,,,,,,,,"Soledad y Larguirucho",2012-07-12
"Papá se volvió loco",2005,,,,,Español,,,,es,,,,"Papá se Volvió Loco",2005-06-02
"Pulqui, un instante en la patria de la felicidad",2007,,,,,,,,,,,,,"Papá se Volvió Loco",2005-06-02
"Ni un hombre más",2012,Argentina,,,,Español,,,,es,,,,"Ni un hombre más",2012-11-08
"El Arca",2008,,,,,English,,,,en,,,,"Noah's Ark",1995-08-29
"Fase 7",2011,Argentina,,,,Español,,,,es,,,,"Fase 7",2011-07-13
"Arrieros",2012,,,,,,,,,,,,,"Fase 7",2011-07-13
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Fase 7",2011-07-13
"Lluvia",2008,Argentina,,,,Español,,,,es,,,,"Lluvia",2008-03-28
"Led Zeppelin: Celebration Day",2012,United Kingdom,,,,English,,,,en,,,,"Led Zeppelin - Celebration Day",2012-11-19
"Luz de invierno",2008,,,,,,,,,,,,,"Led Zeppelin - Celebration Day",2012-11-19
"Cara de queso 'mi primer ghetto'",2006,Argentina,,,,Español,,,,es,,,,"Cara de Queso 'mi primer ghetto'",2006-10-12
"Haroldo Conti, homo viator",2009,,,,,,,,,,,,,"Cara de Queso 'mi primer ghetto'",2006-10-12
"Un mundo seguro",2012,,,,,,,,,,,,,"Cara de Queso 'mi primer ghetto'",2006-10-12
"Pueblo chico",2007,,,,,,,,,,,,,"Cara de Queso 'mi primer ghetto'",2006-10-12
"Dibu 3",2002,Argentina,,,,Español,,,,es,,,,"Dibu 3: La gran aventura",2002-01-01
"S.O.S. Ex",2008,,,,,,,,,,,,,"Dibu 3: La gran aventura",2002-01-01
"Peligrosa obsesión",2004,Argentina,Brazil,,,Español,,,,es,,,,"Peligrosa Obsesión",2004-09-16
"El Camino de San Diego",2006,,,,,Deutsch,,,,de,,,,"El Camino de San Diego",2006-11-10
"Putos peronistas, cumbia del sentimiento",2012,,,,,,,,,,,,,"El Camino de San Diego",2006-11-10
"À fleur de peau",2004,United States of America,,,,English,,,,en,,,,"The Underneath",1995-04-28
"La campana",2011,,,,,,,,,,,,,"Quando suona la campana",
"El secreto de sus ojos",2009,Argentina,Spain,,,Español,,,,es,,,,"El secreto de sus ojos",2009-08-13
"Coronación",2002,,,,,Español,,,,es,,,,"Coronación",2000-04-27
"Una Novia errante",2007,,,,,,,,,,,,,"Una novia errante",2007-05-25
"El Amor y la ciudad",2007,,,,,,,,,,,,,"Una novia errante",2007-05-25
"Homero Manzi, un poeta en la tormenta",2009,,,,,,,,,,,,,"Una novia errante",2007-05-25
"Oro nazi en Argentina",2005,,,,,,,,,,,,,"Una novia errante",2007-05-25
"La Velocidad funda el olvido",2007,,,,,,,,,,,,,"Una novia errante",2007-05-25
"Knafayim Shvurot (Broken Wings)",2003,Israel,,,,עִבְרִית,,,,he,,,,"Knafayim Shvurot",2002-10-24
"La Peli",2007,,,,,,,,,,,,,"Knafayim Shvurot",2002-10-24
"Manuel de Falla, músico de dos mundos",2009,,,,,,,,,,,,,"Knafayim Shvurot",2002-10-24
"Cartas a Malvinas",2009,,,,,,,,,,,,,"Knafayim Shvurot",2002-10-24
"L'Année suivante",2009,,,,,Français,,,,fr,,,,"L'année suivante",2007-02-07
"Teo, cazador intergaláctico",2004,,,,,,,,,,,,,"L'année suivante",2007-02-07
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"L'année suivante",2007-02-07
"Néstor Kirchner, la película",2012,,,,,,,,,,,,,"L'année suivante",2007-02-07
"Rita y Li",2011,,,,,,,,,,,,,"L'année suivante",2007-02-07
"Imagen final (Final Image)",2009,,,,,,,,,,,,,"L'année suivante",2007-02-07
"Palermo Hollywood",2004,Argentina,,,,Español,,,,es,,,,"Palermo Hollyhood",2004-10-14
"A Dona da História",2005,Brazil,,,,Português,,,,pt,,,,"A Dona da História",2004-10-01
"Argentina Beat",2007,,,,,,,,,,,,,"A Dona da História",2004-10-01
"El Arca",2007,,,,,English,,,,en,,,,"A Dona da História",2004-10-01
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"A Dona da História",2004-10-01
"No sabe no contesta",2002,,,,,,,,,,,,,"No Sabe, No Contesta",2002-05-26
"Figli/Hijos",2002,,,,,,,,,,,,,"Figli – Hijos",2001-01-01
"Hotel, hotel",2004,,,,,,,,,,,,,"Porky's Hotel",1939-09-01
"Tata Cedrón, el regreso de Juancito Caminador",2011,,,,,,,,,,,,,"Porky's Hotel",1939-09-01
"El rati horror show",2010,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"18-j",2004,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"Tupac Amaru, Algo está cambiando",2012,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"Olga, Victoria, Olga",2008,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"Coffee Lumiere",2007,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"La Vida Nueva (Tarde)",2011,,,,,,,,,,,,,"El Rati Horror Show",2010-09-16
"À l'attaque!",2003,France,,,,Français,,,,fr,,,,"A l'attaque!",2000-04-12
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"A l'attaque!",2000-04-12
"Tres (2012)",2012,,,,,,,,,,,,,"A l'attaque!",2000-04-12
"Sotuyo sueños de un viejo cerro",2007,,,,,,,,,,,,,"A l'attaque!",2000-04-12
"La Próxima estación",2008,Argentina,,,,Español,,,,es,,,,"La próxima estación",2008-09-08
"La revolución es un sueño eterno",2012,,,,,,,,,,,,,"La próxima estación",2008-09-08
"Luisa",2009,,,,,,,,,,,,,"Aunt Luisa",
"Cha no aji (The Taste of Tea)",2006,Japan,,,,日本語,,,,ja,,,,"Cha no aji",2004-07-17
"El Destino",2007,Spain,,,,Español,,,,es,,,,"El destino se disculpa",1945-01-29
"Acorralados (Pots and Pans)",2012,,,,,,,,,,,,,"El destino se disculpa",1945-01-29
"El Último bandoneón",2006,,,,,,,,,,,,,"El destino se disculpa",1945-01-29
"De caravana",2011,Argentina,,,,Español,,,,es,,,,"De caravana",
"Suspiros en el corazón",2008,,,,,,,,,,,,,"De caravana",
"Regresados",2008,,,,,,,,,,,,,"De caravana",
"Otets i syn (Father and Son)",2004,Russian Federation,Germany,Italy,Netherlands,Pусский,,,,ru,,,,"Otets i syn",2003-01-01
"Lengua materna",2010,,,,,,,,,,,,,"Otets i syn",2003-01-01
"El perseguidor (The Pursuer)",2010,,,,,English,,,,en,,,,"The Tracker",2001-11-21
"El Toro por las astas",2008,,,,,,,,,,,,,"The Tracker",2001-11-21
"El Descanso",2002,United Kingdom,United States of America,,,English,,,,en,,,,"The Holiday",2006-12-08
"Tres deseos (Three Wishes)",2009,United States of America,,,,English,,,,en,,,,"Three Wishes",1995-10-27
"Scarface (2012 re-issue)",2012,,,,,,,,,,,,,"Three Wishes",1995-10-27
"La sociedad de la nieve",2009,,,,,,,,,,,,,"Three Wishes",1995-10-27
"El secreto de sus ojos",2009,Argentina,Spain,,,Español,,,,es,,,,"Three Wishes",1995-10-27
"Mía",2011,Argentina,,,,Español,,,,es,,,,"Mía",2011-01-01
"Dos ilusiones",2004,,,,,,,,,,,,,"Mía",2011-01-01
"Un Mundo menos peor",2004,,,,,Español,,,,es,,,,"Un mundo menos peor",2004-09-30
"Soy tu aventura",2003,,,,,Español,,,,es,,,,"Soy tu Aventura",2003-10-16
"La Caceria",2012,United States of America,,,,English,Español,,,en,es,,,"Season of the Witch",2011-01-07
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Season of the Witch",2011-01-07
"Aballay",2011,Argentina,Spain,,,Español,Deutsch,,,es,de,,,"Aballay, el hombre sin miedo",2010-11-10
"Bañeros III, todopoderosos",2006,,,,,Español,,,,es,,,,"Bañeros III, todopoderosos",2006-07-06
"El vestido",2009,,,,,,,,,,,,,"The Wedding Dress",2001-10-28
"El Séptimo arcángel",2003,,,,,,,,,,,,,"The Wedding Dress",2001-10-28
"Argentina latente",2007,,,,,,,,,,,,,"Argentina latente",
"El Polaquito",2003,,,,,Español,,,,es,,,,"El Polaquito",2004-10-26
"El Pozo",2012,Japan,,,,日本語,,,,ja,,,,"Chakushin ari 2",2005-02-05
"El Cine de Maite",2008,,,,,,,,,,,,,"Chakushin ari 2",2005-02-05
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Chakushin ari 2",2005-02-05
"Peperoni ripieni e pesci in faccia",2009,Italy,,,,Italiano,,,,it,,,,"Peperoni ripieni e pesci in faccia",2006-06-16
"Yo soy sola",2008,,,,,Español,,,,es,,,,"Yo soy sola",2008-05-11
"El Cielto",2004,,,,,,,,,,,,,"Yo soy sola",2008-05-11
"El piano mudo - Sobre el éxodo y la esperanza",2010,,,,,,,,,,,,,"Yo soy sola",2008-05-11
"Porotos de soja",2009,,,,,,,,,,,,,"Yo soy sola",2008-05-11
"Detrás del sol - Más cielo",2008,,,,,,,,,,,,,"Yo soy sola",2008-05-11
"Familia rodante (Rolling Family)",2004,Argentina,Brazil,France,Germany,Español,,,,es,,,,"Familia rodante",2004-09-06
"El Salto de Christian",2007,Spain,,,,Español,,,,es,,,,"El salto de Christian",2007-08-30
"Incómodos",2008,Argentina,,,,Español,,,,es,,,,"Incómodos",2008-10-30
"Tres minutos",2008,Argentina,,,,Español,,,,es,,,,"Tres minutos",2008-02-21
"El recuento de los daños (The Recount of the Damages)",2010,,,,,,,,,,,,,"Tres minutos",2008-02-21
"Lo siniestro (The Sinister)",2011,,,,,,,,,,,,,"Tres minutos",2008-02-21
"O Caminho das Nuvens",2004,,,,,Português,,,,pt,,,,"O Caminho das Nuvens",2003-09-12
"Querida voy a comprar cigarrillos y vuelvo",2011,Argentina,,,,Español,,,,es,,,,"Querida voy a comprar cigarrillos y vuelvo",2011-08-12
"Nos ostros",2008,,,,,,,,,,,,,"Querida voy a comprar cigarrillos y vuelvo",2011-08-12
"La Vida por Perón",2005,,,,,Español,,,,es,,,,"La vida por Perón",2005-06-30
"Más que un hombre",2007,,,,,,,,,,,,,"La vida por Perón",2005-06-30
"Qu'ils reposent en révolte (Des figures de guerre)",2012,,,,,,,,,,,,,"La vida por Perón",2005-06-30
"El notificador",2012,,,,,,,,,,,,,"La vida por Perón",2005-06-30
"Bolivia",2002,Argentina,Netherlands,,,Español,,,,es,,,,"Bolivia",2001-09-22
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Bolivia",2001-09-22
"Familia para armar",2011,Argentina,,,,Español,,,,es,,,,"Familia Para Armar",2011-03-17
"La Ciénaga",2002,,,,,,,,,,,,,"La Cienaga",2001-04-12
"Preguntale al viento",2006,United States of America,,,,English,,,,en,,,,"Ask the Dust",2006-02-02
"Los Paranoicos",2008,Argentina,,,,Español,,,,es,,,,"Los paranoicos",2010-01-23
"Breaking Out",2002,Sweden,,,,svenska,,,,sv,,,,"Vägen ut",1999-02-19
"UPA! Una película argentina",2007,,,,,,,,,,,,,"Vägen ut",1999-02-19
"No te enamores de mí",2012,,,,,,,,,,,,,"Vägen ut",1999-02-19
"Patoruzito",2004,Argentina,,,,Français,,,,fr,,,,"Patoruzito",2004-01-01
"Como un avión estrellado",2005,,,,,,,,,,,,,"Como un avión estrellado",2005-10-27
"Duck",2008,,,,,,,,,,,,,"Duck",2007-05-11
"Tocando en el silencio",2008,,,,,,,,,,,,,"Duck",2007-05-11
"Ese Mismo Loco Afan",2007,,,,,,,,,,,,,"Duck",2007-05-11
"Mientras tanto",2006,,,,,,,,,,,,,"Duck",2007-05-11
"Estrellas",2007,Germany,United States of America,,,English,,,,en,,,,"Star Trek",2009-05-07
"Regreso a Fortín Olmos",2009,,,,,,,,,,,,,"Star Trek",2009-05-07
"Pura sangre",2007,Colombia,,,,Español,,,,es,,,,"Pura sangre",1983-05-11
"Maria Bethânia: Música é Perfume",2007,Brazil,Switzerland,,,Français,Português,,,fr,pt,,,"Maria Bethânia: Música é Perfume",2005-08-24
"Verano maldito",2011,,,,,,,,,,,,,"Maria Bethânia: Música é Perfume",2005-08-24
"Lugares comunes",2002,Argentina,Spain,,,Español,,,,es,,,,"Lugares comunes",2002-10-04
"La Ronda",2008,Spain,,,,Español,,,,es,,,,"Carmen, la de Ronda",1959-01-01
"Mi mejor enemigo",2006,Argentina,Chile,Spain,,Español,,,,es,,,,"Mi mejor enemigo",2005-01-01
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"Mi mejor enemigo",2005-01-01
"Otros Silencios",2012,,,,,,,,,,,,,"Mi mejor enemigo",2005-01-01
"Bahia magica",2002,,,,,,,,,,,,,"Mi mejor enemigo",2005-01-01
"Nunca estuviste tan adorable",2009,,,,,,,,,,,,,"Mi mejor enemigo",2005-01-01
"Agua y sal",2012,,,,,,,,,,,,,"Mi mejor enemigo",2005-01-01
"Manuelita (Re)",2005,,,,,,,,,,,,,"Mi mejor enemigo",2005-01-01
"Fuerza aérea sociedad anónima",2006,Argentina,,,,Español,,,,es,,,,"Fuerza aérea sociedad anónima",2006-08-31
"Visitante de invierno",2008,,,,,,,,,,,,,"Fuerza aérea sociedad anónima",2006-08-31
"Los Invisibles (1963) (Re)",2008,,,,,,,,,,,,,"Fuerza aérea sociedad anónima",2006-08-31
"Yo, Presidente",2006,Argentina,,,,Español,,,,es,,,,"Yo Presidente",2006-10-19
"Ánima Buenos Aires",2012,Argentina,Spain,,,Español,,,,es,,,,"Ánima Buenos Aires",2012-05-02
"Memoria del saqueo",2004,Argentina,Switzerland,France,,Español,,,,es,,,,"Memoria del saqueo",2004-03-18
"Padres de la plaza: 10 recorridos posibles",2010,,,,,,,,,,,,,"Memoria del saqueo",2004-03-18
"Kiss or Kill",2002,,,,,,,,,,,,,"Kiss or Kill",1997-04-23
"Comment j'ai tué mon père",2003,France,,,,Français,,,,fr,,,,"Comment j'ai tué mon père",2001-09-19
"1973, un grito del corazón",2008,,,,,,,,,,,,,"Comment j'ai tué mon père",2001-09-19
